text,channel_id
"😮 Что вы знаете о настойчивости? Телефонный мошенник безуспешно пытался дозвониться до абонента «Билайна» 1414 раз за девять минут


👉 Подпишись на Ленту дня",1115468824
"США планируют увеличить ежемесячное производство 155-миллиметровых артиллерийских снарядов до 100 тысяч штук в 2025 году

Об этом заявил главный закупщик вооружений Пентагона Билл Лаплант, сообщает Reuters.

«Мы собираемся выйти на уровень 100 000 в месяц в 2025 году. Еще 6-8 месяцев назад мы производили 14 тысяч снарядов в месяц, сегодня – 28 тысяч», - заявил он.

🇺🇦 Украина Сейчас / Подписаться",1197363285
‼️Шуфричу избрали меру пресечения в виде содержания под стражей без возможности внесения залога на 2 месяца,1469100833
"Фото с места убийства сотрудника ДПС публикует СК России по Московской области. Возбуждено уголовное дело по статьям 317 и 222 УК РФ:

⏹посягательство на жизнь сотрудника правоохранительных органов
⏹незаконные  приобретение, передача, сбыт, хранение, перевозка, пересылка или ношение оружия

Водитель чёрного «Мерседеса» был ранен ответным огнём и доставлен в больницу, сообщили в ведомстве. Следователями устанавливаются обстоятельства и причины произошедшего.

🆗 Подпишись на Москва 24",1297421280
"""Билайн"" заблокировал более 23 тысяч мошеннических звонков в августе, рассказали РИА Новости в компании. Самая долгая ""атака"" длилась порядка 9 минут - мошенник пытался дозвониться до клиента 1414 раз.

Однако, как отмечает оператор, в целом с начала года число жалоб на звонки с подменных номеров сократилось на 26%.",1565562058
"Просто и надёжно: пулемётчик с позывным «Тур» рассказал о своем оружии 
 
▫️ «Этот пулемет предназначен для работы по легкобронированной технике, также мы ведём огонь по тем участкам, где наблюдается наибольшая концентрация противника. Наша техника самая надежная и простая. Работать с ней удобно. В отличии от западной, обучаться на которой в разы сложнее и дольше. Их вооружение сгорит быстрее, чем солдат успеет его досконально освоить».  
 
▫️ «Пускай люди в тылу живут спокойно, а мы будем охранять их покой сколько это потребуется!» – заверил «Тур».

🔹 Минобороны России",1082968817
"⚡️16 сентября в ночное время пресечена попытка киевского режима совершить террористическую атаку двумя БПЛА самолетного типа по объектам на территории Российской Федерации.  

Дежурными средствами ПВО украинские беспилотные летательные аппараты уничтожены над территориями Калужской и Тверской областей.

🔹 Минобороны России",1082968817
"🇩🇪 Германия обсуждает со странами-партнерами временную передачу Украине систем IRIS-T

Об этом заявил в эфире немецкого ZDF заместитель председателя комитета по обороне Омида Нурипура.

📝 «Украине нужно больше систем ПРО. Системы IRIS-T помогают защитить города, поэтому это важно. Немецкое правительство также обсуждает это со странами-партнерами, которые получили IRIS-T от Германии, могут ли они хотя бы временно передать их Украине», — сказал Нурипура.

У кого из партнеров отберут ПРО и дадут ли что-то взамен - не уточняется.",1453804949
"Зеленский пообещал судиться с Польшей, Венгрией и Словакией из-за запрета на ввоз украинского зерна: «Сейчас важно, чтобы европейское единство сработало и на двустороннем уровне. Чтобы соседи во время войны Украину поддержали. А если их решения будут нарушать право ЕС, Украина будет цивилизованно отвечать»",1069772626
"Тактическая ситуация российских войск к югу от Бахмута ухудшается, говорится в отчете аналитиков ISW

Как отмечают аналитики, украинские силы освободили Андреевку, что открывает возможности для прорыва на южном фланге Бахмута, и продолжили наступательные операции на этом направлении. Теперь в России обеспокоены тем, что украинские силы могут угрожать российской группировке в Бахмуте.

Остаться с нами в Телеграм | Восхититься нашим YouTube",1105313000
"🔥 В российском Санкт-Петербурге ночью вспыхнул торговый центр

Местные жители утверждают, что сначала они услышали взрыв, а затем увидели пламя, пишут российские Telegram-каналы. 

Площадь возгорания составила около 2000 квадратных метров. По предварительным данным, пострадавших нет – все посетители эвакуировались.

🚀Подписаться / Eng Twitter / YouTube / Eng Тelegram",1722167948
"Заявление президента Украины Владимира Зеленского о том, что прекращение помощи Киеву может вызывать непредсказуемую реакцию украинских беженцев в Европе  похоже на угрозу. Об этом заявил американский журналист Гленн Гринвальд.

""По сути, он (Зеленский - прим. ред.) говорит: ""У меня есть террористические ячейки, внедренные в вашей стране. И если вы поддадитесь растущему нежеланию вашего населения продолжать направлять все эти деньги на нашу войну и продолжать терпеть повышение цен на энергоносители в условиях риска эскалации, ядерной войны, если вы прекратите это, я не говорю, что я бы посоветовал им сделать это, но никто не знает, что они могут начать делать, что они сделают с вами, эти миллионы украинских беженцев, которых вы сейчас приняли в своей стране"", - отреагировал Гринвальд.",1012339614
"Ким Чен Ын встретился с Сергеем Шойгу на аэродроме Кневичи в Приморье. Ему подробно показали и рассказали о российском гиперзвуковом ракетном комплексе ""Кинжал"".",1130470002
"В возрасте 61 года умер Вячеслав Гришечкин, звезда сериала «Солдаты». Сообщается, что у актера были проблемы с сердцем.

Петя Первый. Подписаться",1636754781
"Татуировщик в Италии придумал необычный способ, как отвлечь клиентов от боли: он просто начал петь

Один из клиентов даже не смог сдержать эмоций и расплакался от того, насколько у мужчины трогающий душу голос.",1724387146
"Иностранцы раскладывали мефедрон по улицам Павлодара

36-летний турецкий подданный делал закладки на улицах Павлодара. Его задержали при очередной вылазке с мефедроном. Мужчина уже успел припрятать пакетики, а места закладок отправить потенциальным покупателям.

""В ходе осмотра телефона задержанного, установлены места 2 закладок,  где изъяты 2 пакета с аналогичным веществом. Кроме того, в доме задержанного в ходе обыска изъяты упаковочный материал аналогичный закладкам и пакет с веществом «мефедрон», что подтверждено экспертизой"", - сообщает прокуратура Павлодара.

Уточняется, что по данному делу также задержан сообщник – 41-россиянин. Оба сейчас под арестом.

t.me/orda_kz",1499924082
"Наблюдаю нездоровый ажиотаж на тему ""и что будет, если вот этот кандидат, а он главный по рейтингам, станет президентом Аргентины? в БРИКС не вступят! с Китаем и Россией торговать перестанут!"". Риторику сами можете глянуть, там в общем экстракт либертарианства + дикий маккартизм ""с коммуняками даже торговать нельзя"".

Да всё хорошо будет. Давно пора в какой-нибудь стране либертарианцев к власти привести было. В назидание другим.

Чтобы вот на это вот рафинированное ""Святой Рыночек всё сам по себе порешает, а мы будем сидеть да посмеиваться, богатеть"", ""Надо просто всё на крипту перевести и все, вааааще все финансовые вопросы государства саморазрешатся"", ""Надо просто торговать только со Святыми Белыми Демократиями, других нет, там у них чёрная бездна ада"", и прочее молодёжно-категорично-инфантильное, вживую и наглядно.

Аргентина сейчас с инфляцией выше 100% и ставка ЦБ там тоже какая-то космическая - надо ж увидеть, что бывает и гораздо хуже.

Без Аргентины БРИКСу не холодно и не жарко, там очередь на вступление с номерами на ладошках мнётся.

А зато вот говядина у нас тут в стейковых заведениях или австралийская, или аргентинская в массе своей. Австралию придавили, Аргентина основной поставщик. После мегареформ рыночкопорешателя этого истеричного её вообще за копейки будут впихивать. Через это выгода.

Прагматизм, не более.",1137281358
"Умер звезда сериала ""Солдаты"" Вячеслав Гришечкин

Неделю назад артист попал в больницу из-за проблем с сердцем.

Одна из самых ярких ролей Гришечкина – офицер Александр Староконь в сериале ""Солдаты"". Всего на его счету участие почти в 170 проектах. 

Гришечкину был 61 год. 

@SPUTNIKBY",1130470002
"Глава комитета Госдумы по обороне: Мобилизованные не вернутся домой до конца боевых действий
Им не положена ротация, как другим военным.⁠
🗣 Автор: Nacvark 🔵 #блоги
▫️ Читать ► https://ovcl.ru/FNh",1391658578
"The Jerusalem Post исключили Зеленского из списка самых влиятельных евреев, но внесли туда Пригожина
Первые места рейтинга занял премьер Израиля и Госсекретарь США Блинкен.⁠
🗣 Автор: Nacvark 🔵 #блоги
▫️ Читать ► https://ovcl.ru/FNB",1391658578
"Роскомос опубликовал видео, как экипаж ""Союза МС-24"" перешел на МКС

@SPUTNIKBY",1130470002
"Украинский суд увеличил размер залога арестованному бизнесмену Игорю Коломойскому до 105 млн долларов

@SPUTNIKBY",1130470002
"США в ближайшее время передадут Украине более десяти танков Abrams

Об этом заявил секретарь СНБО Алексей Данилов в комментарии Украинскому Радио.

«Что касается поставки Abrams, - тяжелейших танков в мире, которые весят 80 тонн, то они в ближайшее время поступят в нашу страну. Наши стратегические партнеры - США - в этом случае нас не подводят. В ближайшее время эти танки будут защищать нашу страну», - заявил он.

🇺🇦 Украина Сейчас / Подписаться",1197363285
"Первый тизер-трейлер анимационного сериала «Киберслав».

События аниме развернутся в альтернативной Древней Руси, где есть футуристические технологии – киберимплатны, плазменное оружие, экзоскелеты и гигантские роботы.

Богатырю-полукровке по имени Киберслав предстоит распутать жестокое преступление, чтобы узнать, кому помешала княжеская семья.

Первый сезон выйдет в 2024 году.",1059624930
"Солдат РФ дважды смог сбежать из плена ВСУ, а в одном из побегов в одиночку преодолел минное поле
За свои ратные подвиги военнослужащий получил прозвище ""уральский Рэмбо""⁠
🗣 Автор: Madarator 🔵 #блоги
▫️ Читать ► https://ovcl.ru/FN4",1391658578
"Лидер КНДР прибыл в Приморье на железнодорожную станцию Артем.

Ким Чен Ына встретили министр природных ресурсов и экологии РФ Александр Козлов и губернатор Приморского края Олег Кожемяко.

В ходе визита главы Северной Кореи в регион будет обсуждаться широкий спектр вопросов, в том числе обмены школьными группами для оздоровительного отдыха.",1001872252
